category,emojiSet,answer
anime,👩↔️🧑🕧🕐🕑🕘🌠🌄🍶✍❤️🎀,Your Name
anime,🐉🏐🏉🏈,Dragon Ball Z
anime,🏐👑🐦,Haikyuu
anime,🍜☀️👱‍♂️😼👊,Naruto
anime,👱‍♀️👱👱‍♂️👻,Bleach
anime,1️⃣👊👨‍🦲,One punch man
anime,⭐💪✨💁,JoJo’s Bizzare Adventures
anime,✊✋✌️🏹,Hunter x Hunter
anime,🤖🧍🔫,Gundam
anime,🎭☕🧬💉,Tokyo Ghoul
anime,🥊🔛💉💪👁️👄👁️🤼🦧🥔,Attack On Titan
anime,⚔️🎨📶,Sword Art Online
anime,👆🧰🏴‍☠️👒🦺👖,One Piece
anime,🧢🧑🏻🚲🎮🗡️🛡️,Pokemon
anime,🧿⬜🐲🃏🥺👉👈➡️😏✨,Yu-Gi-Oh
anime,⚔️🌊🔥😈🚃🛤️⚡🐗👫,Demon Slayer
anime,🌭🌮🌯⚔️,Food Wars
anime,☠️📝,Death Note
anime,🧍🤖,Full Metal Alchemist
anime,🦸🏫,My Hero Academia
anime,👻💨🐉🕷️🧙‍♀️👧🐖🐖,Spirited Away
anime,🐈👧🏻❤️🙇🏻‍♂️,A Whisker Away
anime,🐺🚸,Wolf Children
anime,♠️♣️♥️♦️🃏🧚🌸,Cardcaptor Sakura
anime,🧚🐉🔥❄️😸⚔️,Fairy Tail
anime,🍎🍏🍐🍑🍒🗑️🛒👩‍❤️‍👨😼🐭🍙,Fruit Basket
anime,👩‍✈️🌛🌹🌌,Sailor moon
anime,🇯🇵🙎🏻‍♀️🤫🏫🙆‍♂️🇬🇧,Kaichou wa Maid-sama
anime,👽😇⚔️🌎🤖,Neon Genesis Evangelion (Evangelion)
anime,⏰🥼🛸,Steins Gate
anime,🐶👿➕👩🏻➡️🐶👿👦🏻🗡,Inuyasha
anime,🎻🎹🤥📅,Your Lie In April
anime,,Ano Hana
anime,◼️🍀🐂🌬️😈,black clover
anime,👨‍⚕️🗿⛏️,doctor stone
anime,🔥 👨‍🚒👩‍🚒🚒👣⚔️🙏,fire force
anime,❤️⚠️👱‍♂️🏅👧💸🎲,love is war
anime,🧒👱👧🤰🍖👹🏃🏃‍♀️,the promised Neverland
anime,🐉🦊🦁🐍🐻🐏🐗☠️,the seven deadly sins
anime,👩👩👩👩👩👦📚📖,the quintessential quintuplets
anime,🎮🇰🇷,solo leveling
anime,🔫👶💍😎🔥forgot the rest..,hitman reborn
anime,🥊🥊🍃💥💫,hajime no ippo
anime,🎸🎹🎵🥁🏫,k-on
anime,LOL,tengen toppa gurren lagann
anime,🏀⛹️‍♂️⛹️,kuroko no basket
anime,⏳🕘🕕🕒🕐☃️🏫🎂,ERASED
anime,🔪🗡️🏫👽👨‍🏫👨‍🔬👩‍🔬👦,assassination classroom
anime,🏫👦👧🔇❌❎😶,a silent voice
anime,,bunch of studio gibli
anime,👩‍❤️‍👨🧙🏻‍♀️😡👩🏻➡️👵🏻🏰🧙🏻‍♂️,Howl's moving castle
anime,👧🏻🐺👸🏻⚔️👥,Princess Mononoke
anime,,-
anime,⚔️🐉😈hard..,akame ga kill
anime,🥊🤜🤛🥊🏦🏨🏩🏯🤑🤑,kengan ashura
anime,🏊‍♂️🏊‍♀️💪💪💦,FREE 
anime,👩🏻‍🦰🧑🏻🐲🐉🐲🐉,yona of the dawn?
anime,⛸️👬🥇🥈❄️,yuri on ice
anime,☠️,that time i got reincarnated as a slime
anime,◼️🤵😈👩‍🌾👨‍🍳🏰🇬🇧,black butler
anime,🔫👨‍⚖️🧠😵,psycho-pass
