category,emojiSet,answer
kdrama,🇰🇷👩🏻🪂🇰🇵👮🏻‍♂️❤🕯,Crash landing on you
kdrama,👋🏼🙋🏻‍♀️👨‍👩‍👧,Hi Bye Mama
kdrama,☀️👩🏻‍⚕️❤️👮🏻‍♂️🔫👮🏻‍♀️❤️👮🏻‍♂️,descendants of the sun
kdrama,🤫🌷🌷👩🏻↔🧑🏻🌧,secret garden
kdrama,👮🏻‍♂️👮🏻‍♂️💀➡️👮🏻‍♂️🔫🏃‍♂️🤛🧑🏻➡️🙍🏻‍♂️🧢🏙,City Hunter
kdrama,👩🏻🛫🇺🇸➡️💰🧑🏻👀👩🏻➡️🇰🇷💰🏫🙍🏻‍♂️❤️👩🏻❤️🧑🏻,inheritors
kdrama,👦🏻👦🏻👦🏻👦🏻🌺🌺🌺🌺,Boys over flowers
kdrama,💭⬆️ 🎤,Dream high
kdrama,🌛👫🌞,THe moon embracing the sun
kdrama,👽🧑🏻💥🌏➡️❤️👩🏻📽,My love from another star
kdrama,💪🧍‍♀️👚🧑🏻👮🏻‍♂️👺👰,Strong Woman Do Bong Soon
kdrama,🙎🏻‍♀️💭🧑🏻👬➡️🙎🏻‍♀️🧑🏻🏠,Personal Taste
kdrama,👩🏻➡️🧑🏻🏫🧑🏻🧑🏻🧑🏻❤️👩🏻🔍📜🤴🏻,sungkyunkwan scandal
kdrama,🤴🏻🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️🕙🕚🕐🕑➡️👩🏻🏠,rooftop prince
kdrama,👩🏻➡️🧑🏻☕🤴🏻,Coffee prince
kdrama,🌺🧑🏻🍜🛍,flower boy ramen shop
kdrama,👩🏻➡️🧑🏻🎶🧑🏻🧑🏻🧑🏻🎤❤️👩🏻,you're beautiful
kdrama,🏠🧑🏻🧑🏻🧑🏻🧑🏻👴🏻🚫❤️👩🏻,cinderella and four knights
kdrama,👩🏻🤥,pinocchio
kdrama,🐒🧑🏻❤️👩🏻👑🤚🐂🧑🏻🐶👩🏻🐖🧑🏻,Korean odyssey
kdrama,🏨👻🌙,Hotel Del Luna
kdrama,✍📖👩🏻🤕❤️🧑🏻,extraordinary you
kdrama,👸🏻👀🤱💍👸🏻❤️🧑🏻🌳,my sassy girl
kdrama,👩🏻➡️🧑🏻🤴🏻❤️👩🏻🌙,love in moonlight
kdrama,👩🏻‍💼🚫👨🏻‍💼🙎🏻‍♂️💍🙅🏻‍♀️🕷😨,What's wrong with secretary kim
kdrama,🧍‍♀️➡️🤖🧍‍♂️🚫🤝 🧍‍♂️❤️🤖🧍‍♀️,i'm not a robot
kdrama,🏋️‍♀️🧚‍♀️,Weightlifting Fairy Kim Bok Joo
kdrama,🏥▶️🎶👩🏻🎤,hospital playlist
kdrama,🔊🧑🏻❤️✍🖼👨‍👩‍👦‍👦💩,sound of your heart
kdrama,👩‍👦‍👦💀🦋🧑🏻❤️👩🏻✍👦🏻🚐,it's okay not to be okay
kvariety,🏃‍♂️🧍🏻‍♂️,Running Man
kpop,🎤💥💥💥👬👬🚶‍♂️,Big Bang
kpop,🎤2️⃣1️⃣,2NE1
kpop,🎤🖤💝👭👭,Blackpink
kpop,🎤🌊➕🟦,CNBLUE
kpop,🎤🕑🌌4️⃣🧍‍♂️,2am
kpop,🎤🕑☀️7️⃣🧍‍♂️,2pm
kpop,🎤🟫👁👩🏻👩🏻👩🏻,Brown Eyed Girls
movie,📽👨‍👧🔒7️⃣🎈👮‍♂️,miracle in cell no.7
movie,📽🐺👦🏻❤️👩🏻,werewolf boy
kvariety,🦸🏻‍♂️👶👶,the return of superman
movie,🦠🏠🔪,Parasite
kpop,👰🏻👗,Wedding Dress
kvariety,👰❤️🤵➡️🏠,We got married
kdrama,🧑🏻↔️👓🎢❤👩🏻🎪,"Hyde, Jekyll, me"
movie,2️⃣0️⃣0️⃣💷👱‍♀️,200 pounds beauty
movie,🚅👨‍👧🧟‍♂️🧟‍♀️🧟‍♂️,train to busan
kdrama,7️⃣🥇💏💏,7 first kisses
kdrama,🧑🏻❤👩🏻9️⃣🦊,my girlfriend is a gumiho
kdrama,👩🏻‍⚕️👨🏻‍⚕️👩🏻‍⚕️👨🏻‍⚕️,the doctors
kdrama,🧑🏻❤👩🏻🎻❤🧑🏻❤👩🏻,Tempted 
kpop,🎤🅱️🎬7️⃣🧍🏻‍♂️,BTS
kpop,🎤🦸🏻‍♂️🧒🏻1️⃣3️⃣🧍🏻‍♂️,super junior
kpop,🎤🦸🏻‍♂️🧒🏻7️⃣🧍🏻‍♂️🇨🇳,super junior-m
kpop,🎤✌9️⃣🧍🏻‍♀️,twice
kpop,🎤👧🏻9️⃣👩🏻‍🦳👩🏻👧🏻👶🏻,girl's generation
kpop,🎤✨✨✨✨✨,shinee
kdrama,👩🏻🤫💏,my secret romance
kpop,🎤📺✖⚪,tvxq
kpop,🎤🃏💴🃏,jyj
kdrama,🌙💏🟥❤,moon lovers scarlet heart ryeo
kdrama,👨🏻‍💼☀️,mr. sunshine
kdrama,9️⃣0️⃣0️⃣🧑🏻👀👰🏻,goblin
kdrama,🏯🧟‍♂️🧟‍♀️🧟‍♂️,kingdom
kdrama,👩🏻‍💼↔️🧢👩🏻📸😍,her private life
kdrama,⚾️🧑🏻➡️🔒📖,prison playbook
kdrama,✍👩🏻💍🧑🏻➡️🏠,full house
