category,emojiSet,answer
Places,⬜🏠,White House
Places,🧭⬆️🚩🧊,North Pole
Country,🇭🇲🦘,Australia
Country,🇯🇵🌸,Japan
Country,🇮🇳🐘,India
Country,🇮🇹🍝,Italy
Country,🇨🇦🍁🥌,Canada
Places,🍎🇺🇸,New York
Places,🇫🇷🏰🐭,Paris Disneyland
Places,🇭🇰🏰🐭,Hong Kong Disneyland
Places,🇯🇵🏰🐭,Tokyo Disneyland
Places,🇯🇵🏰🐭🌊🧜🏼‍♀️,Tokyo DisneySea
Places,🚩🚩🚩🚩🚩🚩,Six Flags
Places,🇰🇷🏰🎢,Lotte World
Places,🏰🐭🌎,Walt Disney World
Landmark,🏰🤴👸🇬🇧,Buckingham Palace
Landmark,🕌🇮🇳,Taj Mahal
Landmark,🧱🧱🧱🇨🇳,Great Wall of China
Landmark,🗻🌸🇯🇵,Mount Fuji
Landmark,🎡🇬🇧,London Eye
Landmark,🕐🏫🇬🇧,Big Ben
Landmark,🌁🌉,Golden Gate Bridge
Landmark,🧑🧑🧑🧑🗻,Mount Rushmore
Landmark,☀️🔺🐪,The Pyramid of Giza
Landmark,🗽,Statue of Liberty
Landmark,🇦🇺🎶🏠,Sydney Opera House
Landmark,✝️⛰🇧🇷,Christ the Redeemer
Places,🧜‍♀️🌊🏙❓,Atlantis
Landmark,🗿,moai statue
Landmark,🇫🇷🗼,Eiffel Tower
Places,🛁🏠,Bath house
Places,⛩,Torii
Places,🏥,Hospital
Places,🇮🇩🏖🥥🐒☀️,Bali
Country,🇮🇩🎍🌋🍚,Indonesia
Places,🇭🇰🐉🍜⛵️,Hong Kong
Places,🇹🇭🏞🏖☀️,Phuket
Places,🏜🌵☀️,Desert
Places,☀️🌆💰,Sun City
Places,🧱🛣🐃,Wall Street
Landmark,🇵🇪⛰⛰🗻,Machu Picchu
Landmark,🗿🗿🗿🗿🏝,Easter Island
Places,🇨🇽🎄🏝,Christmas Island
Landmark,🇨🇳⛔️🚫🏙👑,Forbidden City
Places,🇭🇰🌊🎢🏞,Ocean Park
Landmark,🇭🇰⛰🔝🚠,Victoria Peak
Places,🟦🏠🇰🇷,blue house
country,🇬🇷🏛,greece
country,🇨🇳🍚🧮,China
country,🇪🇦🐃🟥,Spain
country,🇬🇧👸,united Kingdom 
country,🇳🇿🐑🍯,New Zealand
country,🇳🇱🌷,Netherlands
country,🇻🇳🍜🏞,Vietnam
