category,emojiSet,answer
movies,🤡🤫,IT
animated,❄️👸,Frozen
animated,👀🔭🐟,Finding Nemo
movies,🔦⚔️💫,Star Wars
movies,🧝🧙💍🤼‍♂️🥔,Lord of the Rings
animated,❄️⬜,Snow White
animated,🤥👃👦,Pinocchio
movies,🐺🏙️💰💲💸💊,Wolf of Wall Street
animated,🥀🐻👸🕯️🕰️,Beauty and the Beast
animated,🐀👨‍🍳🗼,Ratatouille
movies,☠🏊‍♂️,Deadpool
movies,👬👬👻🚫,ghostbusters
animated,🧞🤴,Aladdin
movies,🕵️👨‍👩‍👧‍👦,Spy Kids
movies,⚓🚢🧊☠️,Titanic
movies,🚀🕛🕧🕜🕑🕒🕞🕓🕟🕠🕡🕢🕣,Interstellar
movies,🛌💤➡️🛌💤➡️🛌💤➡️🔫,Inception
animated,👩🏻➡️🧑🏻🐉🦗🗡🇨🇳,Mulan
animated,👦🍳🧚‍♀️,Peter Pan
animated,🦁👑,Lion King
animated,🧜‍♀️🐠🦞🍴🦵,The Little Mermaid
animated,🛌💤👱‍♀️,Sleeping Beauty
movies,👦👴🍫🍫🦰🏢,Charlie and the Chocolate Factory
movies,🔨⚡,Thor
movies,1️⃣6️⃣🕯,Sixteen Candles
animated,👱‍♀️🐇🕑🐛🐱🃏👸❤️,Alice in wonderland
animated,🐔🏃‍♂️,Chicken Run
movies,🤫🐑🐑🐑,The Silence of the Lambs
movies,🐖🕸,Charlotte's Web
movies,🕷🧑,Spiderman
movies,🐜🧑,Antman
movies,🤠👽,Cowboys and Aliens
movies,🏴‍☠️🛳🏝,Pirates of the Caribbean
movies,👸📖,Princess Diaries
animated,🦊🐕,The Fox and the Hound
movies,🔱🧑,Aquaman
movies,👓👔🦸‍♂️,Superman
movies,👩‍⚖️👱‍♀️,Legally Blonde
movies,🥊💪🧑,Rocky
movies,🎪🎩🧍‍♂️💯,the greatest showman
animated,🥋🐼,Kung Fu panda
movies,🏠😱,home alone
movies,🕛🗼,midnight in paris
animated,🌤🌌🍝🥬🍦🧑🐒,Cloudy with a chance of meatballs
movies,🧛🏻‍♂️👩🍎🤲,Twilight
movies,🧛🏻‍♂️👩🐺🥀,New Moon
movies,🧛🏻‍♂️👩🐺🌘,Eclipse
movies,🧛🏻‍♂️👩♟️👶🐺,Breaking dawn
animated,❓2️⃣🚉👦🐉,How to train your dragon
movies,🧂,SALT
movies,💑💔👨‍👧👩‍👧🕑👩↔️👩💑,Parent Trap
animated,👦🧸🍯🐷🐅🐇🐴,Winnie the Pooh
movies,🙎‍♂️🐻🐍🐅📘,The Jungle book
animated,🧊🐘🦥🐅🧒,Ice Age
animated,👨‍👩‍👧‍👦👶➡️🦸‍♀️🦸‍♂️💪,The Incredibles
animated,👸🏾😙🐸➡️🐸🐸,Princess and the frog
animated,🧅🟢❤️👸➡️🟢🐈👢🐴,Shrek
animated,👨‍🦲👃🤓👖🍌👧👩👧🦄,Despicable Me
movies,🏹1️⃣3️⃣👫💀🎮,The hunger games
animated,🏁⚡👸🚘🚛🚜🏜🚙,Cars
animated,👴🏠🎈🎈🎈🧑🏻🐶🦩,UP
movies,👩🏻‍🦰👱🏻‍♀️👩🏽👱‍♀️👚🏫,Mean Girls
movies,🚗↔️🤖🐝,Transformers
movies,🦖🦕🎢,Jurassic Park
animated,👱‍♀️🚫💇‍♀️ 🏵🦎🏮👸,Tangled
movies,🗺😲🏃‍♂️,Maze runner
movies,🔴🐕,Red Dog
movies,🌙👮‍♂️🔦🤠🦖🗿🐒,Night at the Museum
animated,👩🏽🌊⛵💪🥥🎣❤️🌋,Moana
animated,👩🏻‍🦰🏹🤱➡️🐻,Brave
animated,👦🏻⚪🦾🦿6️⃣,Big hero 6
animated,👦🏽🎸➡️🌍💀,coco
animated,🦄💪👨🏼‍🦰❤️👩🔥🇬🇷,Hercules
animated,👩🏻👀🧵🔘,Caroline
animated,👹🏠,monster house
animated,🟢👁🖋️,monsters inc
animated,🦊🐇🚓,Zootopia
animated,👨‍💼👶,The Boss Baby
animated,🔵🤜🦸‍♂️➡️💀🐡🔵❤️👩,megamind
animated,🦁🦓🦒🦛🌍,madagascar
animated,🧸📖 🤠👨‍🚀,toy story
animated,❄️🧑🏼🎅🐇🧚‍♀️⏳,Rise of the guardians
animated,👹🆚️👽,monsters vs aliens 
animated,🐘🕊🎪,Dumbo
animated,🤖🥾🌱🚀,Wall-e
animated,🅾️🟣🚀👩🏾🐈🏠,Home
movies,🚘➕🤬,Fast & Furious
movies,✌🚘✌🤬,2 Fast 2 Furious
movies,🚘🤬🇯🇵,The Fast and Furious Tokyo Drift
movies,🥊♣️,fight club
movies,🧑🔒⚒️📖🏃‍♂️,shawshank redemption
movies,👩➡️🧑⚽️🧀👗,She's the Man
movies,👻,Ghost
movies,😺😻😸😼,Cats
animated,1️⃣0️⃣1️⃣🐶⚫️⚪️,101 dalmatians
movies,👸📖2️⃣💍,Princess Diaries 2
animated,🐕🍝🐩,Lady and the Tramp
animated,🐶⚡️,Bolt
animated,🧚‍♂️🟢,Tinkerbell
movies,💃🏼🎀☂️💼,Mary Poppins
animated,😡🔴🙄🟢😊🟡😰🟣☹️🔵,Inside Out
movies,🔪⛔️,knives out
movies,🚙🆚️🏎🐎,Ford v Ferrari
movies,⬜🏠⬇️,white house down
movies,🏃‍♂️⏳🧑🏻🧑🏽,rush hour
animated,🐜🐜🎪🐞🕷🦟🐛🦗,a bug's life
animated,👍🦕🧒,good dinosaur
movies,🌊1️⃣1️⃣,Ocean's Eleven
movies,🌊1️⃣2️⃣,Ocean's Twelve
movies,🌊1️⃣3️⃣,Ocean's Thirteen
movies,🌊8️⃣,Ocean's 8
movies,👦➡️🦸‍♂️⚡,shazam
movies,❌🧑🐺👨🏼‍🦽🧲,x-men
movies,🌍🚀🔵🧑⭐📼🎶🟢🦝🌳,guardians of the galaxy
movies,🙅🏼‍♀️🧑1️⃣0️⃣✍📰,how to lose a guy in 10 days
movies,1️⃣0️⃣🙍🏼‍♀️🙅🏼‍♀️👉🧑🏫,10 Things I Hate About You
movies,🙅‍♀️💏➡️🏫❤️👨🏼‍🏫,never been kissed
movies,1️⃣3️⃣👧➡️3️⃣0️⃣👩,13 Going on 30
movies,🤪🤑🧑🏻👩🏻,crazy rich asians
movies,🧟‍♂️❤️👱‍♀️,warm bodies
movies,5️⃣0️⃣🧑❤️👩🏻‍🦰🐬,50 first dates
movies,🕴🕴🏾🔫👹,men in black
movies,5️⃣0️⃣0️⃣☁️☀️,500 Days of Summer
movies,👨‍👩‍👦🥊👨‍👩‍👧💑💀🍵💀🗡,romeo and juliet
animated,🧹👡✨🎃,Cinderella
movies,👩‍❤️‍💋‍👨💋💋🌴,The Kissing Booth
movies,👩‍❤️‍💋‍👨💋💋🎡,The Kissing Booth 2
movies,🟢🏮,Green Lantern
movies,5️⃣💌🙎🏻‍♀️💏👩🏻🧑📝,to all the boys i've loved before
animated,🐌🆚️🚘,Turbo
animated,👩🏽🦝🐦🌳🎨🌬❤️👱🏻‍♂️,pocahontas
movies,🐦🧍‍♂️,Birdman
movies,🦇🧍🏻‍♂️,Batman
movies,👨❤️👰🏻🇬🇷,My big fat greek wedding
movies,👁🤖,irobot
movies,3️⃣⚔️🤺🎭,The Three Muskeeters
movies,👶🚘,Baby driver
movies,0️⃣0️⃣7️⃣🔫,James Bond
movies,🏆👁,GoldenEye
movies,👰⚔👰,bride wars
movies,👰👩👱‍♀️👩👱‍♀️👩,bridemaids
animated,👶🧺🏞➡️🧔🤴🏼🌊👥➡️🔟📜,The Prince of Egypt
animated,🔟📜,The Ten Commandments
animated,👨‍🦱🦺🔴🟠🟡🟢🔵🤴🏼💭💭,Joseph King of Dreams
movies,❤️🧔✝️💀➡️🧔,The Passion of the Christ
animated,💪👾🍭🍬👧🏻🏎,Wreck-it Ralph
animated,🦌🦋🦨🐇,Bambi
animated,🐈🐱🎻😻😼😾🎶🇫🇷,The Aristocats
animated,🌳🤽‍♂️👩👴🦍🌳,Tarzan
animated,🐔😎🛸🥤,Chicken Little
animated,❄️👸2️⃣,Frozen 2
animated,🟢🦊🏹🐻💰🚩,Robin Hood
animated,👨‍👩‍👧‍👦👶➡️🦸‍♀️🦸‍♂️💪2️⃣,Incredibles 2
animated,🟢👁🧢📘🏫,monster university
animated,🦈📖🐟🐠🧹,Shark Tale
animated,🐝🎬,Bee Movie
animated,🥋🐼2️⃣,Kung Fu panda 2
animated,🥋🐼3️⃣,Kung Fu panda 3
animated,🐈🎩🗡👢,Puss in the Boots
animated,🚽🐭💦,Flushed Away
