category,emojiSet,answer
tv,🏙️9️⃣9️⃣ 🚔👮‍♂️,Brooklyn Nine-Nine
tv,🏥👨‍⚕️👩‍⚕️👨🏾‍⚕️👩🏽‍⚕️😂,Scrubs
tv,🧑🐺,Teen Wolf
tv,❓🧑👀👫🤱☂️,How I Met Your Mother
animated,🌊🌍🔥🌬👩‍🦲,Avatar the Last Airbender
tv,1️⃣3️⃣❓,13 Reasons Why
tv,👫👫👫🛋🏙☕,Friends
tv,🧛‍♂️📖,Vampire Diaries
tv,🥶💼,Cold Case
tv,🧠⬆️5️⃣👩‍🏫❓,Are You Smarter Than a Fifth Grader?
tv,🦴🦴🦴,Bones
tv,💯,The 100
tv,❌⭕❌⭕👄👧,Gossip Girl
tv,🚶‍♂️💀,Walking Dead
tv,👨‍⚕️❓,Doctor Who
tv,🏠🃏🃏🃏,House of Cards
tv,🏰,Castle
tv,👔👔,Suits
tv,☂️🏫,Umbrella Academy
tv,🥬📴🛶👨‍👩‍👦‍👦🙎‍♂️🇺🇸,Fresh Off the Boat
tv,🎮🪑⚔️ 🐉,Game of Thrones
tv,👭👭🤫🅰️,Pretty Little Liars
tv,👮‍♂️👮‍♂🏫,Police Academy
animated,🍌👕👖🐻🐻🐻🐭,Bananas in Pyjamas
animated,👷‍♂️🔨🚜,Bob the Builder
tv,👩‍🍳👨‍🍳🗳️🏆⏲,Masterchef
tv,❤️🏝,Love Island
tv,🧑🌹👩👱‍♀️👩🏽👩🏻‍🦰,The Bachelor
tv,👩🌹🧑👱‍♂️🧑🏽👨🏻‍🦰,The Bachelorrete 
tv,👩‍⚕️💉👩🤰❤️👮‍♂️🧑,Jane the virgin
tv,👩➡️👱‍♀️🎤,Hannah Montana
tv,🧙‍♀️🌭👨‍👩‍👦‍👦👩,Wizard's of waverly place
tv,🏨🧑🏼🧑🏼🛎👩🏻👱‍♀️🧑🏾,The suite life of cody
animated,👨‍👩‍👧‍👦👶🏼🛋☢️🎷🛹,The simpsons
animated,🧑👩🏻‍🦰👱🏻‍♂️👩👶🐶,family guy
animated,🧑🏻👱‍♀️👽👩🏻🤓🐟🇺🇸,american family
tv,👱‍♀️🤓🧑🧑🏾🧑💥,the big bang theory
tv,🕵️‍♀️🕵️‍♂️🛡,the agents of Shield
tv,🏫👨‍🏫🎤🎶🤓,Glee
tv,🧑👱‍♀️👩🧑🏾🧑🏽🧓🏻👩🏽‍🦱🏫🇪🇦,Community
tv,👨‍💼🧸🚙🌱,Mr Bean
tv,🔴🐥🔵🍪🟢🗑🧛‍♂️1️⃣2️⃣3️⃣,Sesame Street
tv,🕵️‍♂️👨‍⚕️🎻🧩💀,sherlock
tv,⬅️🧭🌎,Westworld
tv,2️⃣💲🚫👩👱‍♀️,2 Broke Girls
tv,🇺🇸😱📖,American Horror Story
tv,👑,The Crown
animated,👨🏻‍🦰🕐🕞🕗➡️🤖👴👩👩🏻👨🏽‍🦱🦞,Futurama
tv,👱‍♀️🧑🏾👩🧑🏻💀➡️👍☁️,The Good Place
tv,👩➡️🏠🧑🧑🏽🧑,New girl
tv,🔒🟧🆕️⬛,Orange Is the New Black
tv,👩🏻‍🦰👨🏻‍🦰💀🏞👱‍♀️👨🏻‍🦰👩🏻,Riverdale
tv,🖖🚀,Star Trek
tv,🧑❤️👩🏻‍🦰👨🏻‍🦱🧑❤️👩7️⃣0️⃣,That 70s Show
tv,🐯🤴🏻,Tiger King
tv,1️⃣🌳⛰,One tree hill
tv,👻🗣👩,Ghost whisperer
tv,🧢🧑👀👱‍♀️💀💀💀,You
tv,🛩💥🏝👥,Lost
animated,🤪👴🥼🍷👨‍🔬👦,rick and morty
animated,👱🏻‍♂️🐶❤️🦄👸🧛‍♀️🧊🤴,adventure time
animated,🐦🦝💪🧑🌝🖐👻,the regular show
animated,🐻🐼🧊🐨,We Bare Bears
animated,⬇️🧭🎢,South park
tv,👨‍👩‍👦👨‍👨‍👧👨‍👩‍👧‍👧👦,Modern Family
tv,🦈🎽,shark tank
tv,👱‍♀️🧙‍♀️🐈,sabrina the teenage witch
tv,👨🏻‍🌾❤️👰🏻,Farmer wants a wife 
tv,🦸‍♂️🏃‍♂️⚡,Flash
tv,🎭🎤,Masked Singer
animated,💪🥬⚓️,Popeye
tv,🐸❤🐷🐻🐶👹🦅,the muppets show
tv,🔴🟡🔵🟣🦖🐙🐶🏴‍☠️,the wiggles
tv,👋5️⃣🎵,hi-5
tv,🟣🟡🟢🔴🌞📺,teletubbies
animated ,🐒🧑🏻🍌,curious George
animated ,🌶🐷,peppa pig
animated ,🚉🚃🚞🚂🤵🎩,Thomas and friends
animated ,👨‍🔬🍬🧁🍪🔵🦸🏼‍♀️🟢🦸🏻‍♀️🟠🦸‍♀️🐒🧠,the powerpuff girls
animated ,🐱➕🐀,the tom and Jerry show 
animated ,🐰🥕🦆🐷🐱🐥,looney tunes 
animated ,👱🏻‍♂️👩🏻‍🦰👩🧑🐶🚐,scooby doo mystery inc.
animated ,💪👱🏻‍♂️💪🕶,Johnny bravo
animated ,👦🔟.,ben 10
animated ,👨🏻‍🦰👓🥼🧪👧🏼,Dexter's laboratory
animated ,👩🏻‍🦰🕵️‍♀️👱🏻‍♂️🐁👦🏾🖥,kim possible
animated,👧🏻🐞👦🏼🐱🦹‍♂️🦋,Miraculous Tales Of Ladybug and Cat Noir
